Id,Date,Time,CO2_(dinning-room),CO2_room,Relative_humidity_(dinning-room),Relative_humidity_room,Lighting_(dinning-room),Lighting_room,Meteo_Rain,Meteo_Sun_dusk,Meteo_Wind,Meteo_Sun_light_in_west_facade,Meteo_Sun_light_in_east_facade,Meteo_Sun_light_in_south_facade,Meteo_Sun_irradiance,Outdoor_relative_humidity_Sensor,Day_of_the_week,Indoor_temperature_room
56,14/03/2012,01:45,221.515,225.237,40.708,43.1653,11.7847,13.428,0.0,0.65,0.0,0.0,0.0,0.0,-3.38133,57.5707,3.0,18.4167
57,14/03/2012,02:00,222.304,226.56,40.6213,43.16,11.7033,13.1993,0.0,0.65,0.0,0.0,0.0,0.0,-3.316,57.4293,3.0,18.2727
58,14/03/2012,02:15,222.411,227.211,40.712,43.16,11.6867,13.5093,0.0,0.65,0.0,0.0,0.0,0.0,-3.12,57.3867,3.0,18.0973
59,14/03/2012,02:30,222.08,225.6,40.6547,43.16,11.7847,13.184,0.0,0.65,0.0,0.0,0.0,0.0,-3.316,57.3787,3.0,17.9533
60,14/03/2012,02:45,222.432,225.355,40.672,43.176,11.4427,13.8013,0.0,0.694,0.0,0.0,0.0,0.0,-3.12,57.3493,3.0,17.8173
61,14/03/2012,03:00,221.12,222.795,40.676,43.1653,11.768,13.428,0.0,0.65,0.0,0.0,0.0,0.0,-3.18533,56.8533,3.0,17.654
62,14/03/2012,03:15,220.853,220.747,40.488,43.104,11.524,13.3467,0.0,0.65,0.168,0.0,0.0,0.0,-3.18533,56.6053,3.0,17.5153
63,14/03/2012,03:30,218.784,216.928,40.3333,42.872,11.7847,13.3467,0.0,0.65,0.508,0.0,0.0,0.0,-3.10733,56.2693,3.0,17.3267
64,14/03/2012,03:45,216.373,217.216,40.4413,42.8507,11.6053,13.2653,0.0,0.65,0.0413333,0.0,0.0,0.0,-3.25067,56.0453,3.0,17.1553
65,14/03/2012,04:00,216.043,215.957,40.4253,42.8933,11.9473,13.428,0.0,0.65,0.0,0.0,0.0,0.0,-3.12,55.984,3.0,17.0253
66,14/03/2012,04:15,214.187,215.392,40.372,42.856,11.622,13.428,0.0,0.65,0.230667,0.0,0.0,0.0,-3.18533,56.0373,3.0,16.894
67,14/03/2012,04:30,213.003,213.781,40.3133,42.752,11.7847,13.1027,0.0,0.65,0.663333,0.0,0.0,0.0,-3.17267,56.0667,3.0,16.7433
68,14/03/2012,04:45,212.619,213.419,40.312,42.648,11.6053,12.7607,0.0,0.65,1.298,0.0,0.0,0.0,-3.25067,56.1867,3.0,16.608
69,14/03/2012,05:00,211.168,212.672,40.3413,42.672,11.6053,13.2653,0.0,0.65,0.706,0.0,0.0,0.0,-3.25067,56.104,3.0,16.4307
70,14/03/2012,05:15,211.317,212.992,40.376,42.776,11.622,13.428,0.0,0.65,0.0,0.0,0.0,0.0,-3.12,56.0907,3.0,16.2933
71,14/03/2012,05:30,211.2,213.856,40.372,42.8667,11.866,13.3467,0.0,0.782,0.0,0.0,0.0,0.0,-3.12,56.4747,3.0,16.174
72,14/03/2012,05:45,210.304,214.005,40.4253,42.9387,11.768,13.3467,0.0,2.54133,0.0,0.0,0.0,0.0,-3.18533,57.0773,3.0,16.036
73,14/03/2012,06:00,210.571,214.229,40.48,42.9787,11.524,13.672,0.0,66.166,0.0,0.0,0.0,0.0,-3.18533,56.8853,3.0,15.9227
74,14/03/2012,06:15,211.072,214.197,40.4373,43.016,11.6053,13.8507,0.0,499.723,0.0,0.0,0.0,0.0,-2.19667,56.9093,3.0,15.8607
75,14/03/2012,06:30,211.093,214.496,40.448,43.0747,11.6053,19.6253,0.0,611.84,0.0,150.528,2042.88,738.304,6.454,56.9573,3.0,15.74
76,14/03/2012,06:45,211.467,217.077,40.44,43.0853,20.0447,23.44,0.0,612.651,0.0,4107.26,22017.0,7059.8,32.7267,57.088,3.0,15.6427
77,14/03/2012,07:00,213.557,219.68,40.4507,43.0507,21.328,23.44,0.0,614.507,0.0,7877.63,43632.0,16936.3,72.7547,56.8347,3.0,15.5307
78,14/03/2012,07:15,215.221,218.187,40.348,42.904,21.4893,23.5507,0.0,616.085,0.127333,9734.14,54998.4,26204.8,116.608,56.12,3.0,15.4753
79,14/03/2012,07:30,215.093,217.739,40.508,42.84,21.5073,23.44,0.0,617.408,0.0,11285.8,62906.4,35655.7,164.304,55.3573,3.0,15.3773
80,14/03/2012,07:45,215.424,216.928,40.556,42.064,21.3453,26.528,0.0,618.773,0.0,12533.8,69208.7,44455.3,214.869,54.4987,3.0,15.6793
81,14/03/2012,08:00,215.509,218.464,40.6867,41.116,21.166,38.3507,0.0,619.413,0.0,13487.4,72149.7,51937.3,264.331,53.9627,3.0,16.2273
82,14/03/2012,08:15,215.488,218.475,40.7867,40.5907,21.246,49.1547,0.0,620.139,0.0,14361.3,74227.7,59392.0,313.227,54.224,3.0,16.6473
83,14/03/2012,08:30,215.872,219.392,40.868,40.2613,27.3667,65.44,0.0,620.821,0.0,15451.5,75502.9,67114.3,361.685,55.1733,3.0,17.0253
84,14/03/2012,08:45,215.211,219.531,40.9867,39.98,32.492,83.0133,0.0,621.547,0.0,17179.3,75882.5,73408.5,406.677,56.2373,3.0,17.3987
85,14/03/2012,09:00,216.181,220.523,40.9,39.62,41.516,107.493,0.0,622.357,0.0,18683.9,76455.9,79055.5,449.92,56.9333,3.0,17.7927
86,14/03/2012,09:15,215.413,220.779,40.6547,39.2147,41.4173,112.56,0.0,622.656,0.192,17724.8,78654.1,84863.7,495.829,56.792,3.0,18.2633
87,14/03/2012,09:30,216.811,233.909,40.2733,38.5987,49.7333,128.923,0.0,623.083,0.174,15824.9,75707.7,89205.4,533.163,55.752,3.0,18.712
88,14/03/2012,09:45,218.272,230.624,40.172,37.8773,51.9147,140.64,0.0,623.211,0.440667,14361.9,72237.1,93743.8,574.272,55.08,3.0,19.2667
89,14/03/2012,10:00,219.808,228.32,40.1813,37.096,51.5707,142.944,0.0,624.32,0.764667,13043.0,67125.2,95660.7,612.971,54.1627,3.0,19.8067
90,14/03/2012,10:15,221.44,228.448,40.22,36.3373,53.9013,143.2,0.0,624.32,0.392,11896.1,58480.0,95649.8,641.6,53.416,3.0,20.3413
91,14/03/2012,10:30,225.109,262.859,40.3733,36.7587,81.6827,128.155,0.0,624.32,0.909333,11179.3,48507.6,95584.3,667.733,52.92,3.0,20.8453
92,14/03/2012,10:45,232.331,396.096,40.4653,39.972,81.4827,113.429,0.0,623.979,1.20267,10685.4,36554.1,95518.7,692.011,52.8747,3.0,21.452
93,14/03/2012,11:00,238.752,436.309,40.832,40.688,81.7413,114.24,0.0,623.467,1.49733,10157.1,25960.4,95475.0,718.251,52.696,3.0,21.788
94,14/03/2012,11:15,243.904,448.469,41.0307,41.2693,81.6613,112.64,0.0,623.04,1.868,9640.96,19033.4,95425.9,741.12,52.0427,3.0,21.836
95,14/03/2012,11:30,267.189,301.28,41.836,39.4267,81.4213,142.56,0.0,623.04,1.93467,9411.58,15601.0,95431.3,754.987,52.0773,3.0,21.6173
96,14/03/2012,11:45,283.349,265.952,42.432,40.624,81.424,141.68,0.0,622.656,2.028,9777.15,13444.4,95382.2,763.52,52.4213,3.0,21.424
97,14/03/2012,12:00,322.869,310.432,43.0747,41.4853,81.4827,139.797,0.0,622.4,1.992,11366.1,11158.2,95354.9,771.627,52.688,3.0,21.6
98,14/03/2012,12:15,357.781,384.448,42.1147,41.824,81.6613,123.637,0.0,622.144,2.25667,14368.8,10135.6,95311.2,776.619,53.16,3.0,21.8587
99,14/03/2012,12:30,396.843,472.277,42.1467,42.1573,81.4427,116.672,0.0,622.229,1.81,18976.8,10092.5,95344.0,775.253,53.3893,3.0,22.0573
100,14/03/2012,12:45,445.248,475.051,42.4773,42.6587,81.3227,112.496,0.0,622.4,2.034,26528.4,9640.96,95354.9,771.456,53.2213,3.0,22.1907
101,14/03/2012,13:00,445.803,472.363,44.2933,43.472,81.2613,112.496,0.0,622.101,1.952,37169.8,9017.34,95278.4,762.795,53.2027,3.0,22.34
102,14/03/2012,13:15,428.928,438.592,43.0907,43.312,81.3413,112.411,0.0,621.76,1.90133,49610.8,8759.3,95300.3,749.952,53.112,3.0,22.4707
103,14/03/2012,13:30,436.117,445.824,43.2027,43.472,80.9227,112.581,0.0,621.461,2.008,62794.4,8902.66,95163.7,731.392,53.008,3.0,22.62
104,14/03/2012,13:45,401.237,421.611,43.0427,43.6587,81.1013,94.976,0.0,620.48,2.08933,72485.5,8967.17,91799.6,712.491,52.6907,3.0,22.624
105,14/03/2012,14:00,378.453,356.352,42.8373,43.6027,81.0827,82.88,0.0,620.48,1.63933,81002.5,9053.18,86911.7,686.507,52.288,3.0,22.692
106,14/03/2012,14:15,352.171,306.848,43.0427,43.3333,64.8453,82.8,0.0,620.352,1.872,88124.1,9218.05,81589.6,657.472,51.784,3.0,22.7347
107,14/03/2012,14:30,308.576,297.813,43.7227,43.2533,51.416,62.1467,0.0,619.84,1.82067,91045.9,9447.42,75524.8,627.84,50.8,3.0,22.78
108,14/03/2012,14:45,292.971,276.523,43.672,43.1067,50.6347,52.5893,0.0,619.84,1.96067,93498.0,9784.32,68381.4,594.283,49.4987,3.0,22.816
109,14/03/2012,15:00,277.387,260.256,43.4987,43.0213,41.9733,45.0453,0.0,619.328,1.782,93066.6,9992.19,60907.5,558.443,48.1893,3.0,22.8213
110,14/03/2012,15:15,263.808,248.853,43.064,42.8987,38.6867,39.6987,0.0,619.2,2.03067,91258.9,9612.29,52974.9,518.827,46.432,3.0,22.808
111,14/03/2012,15:30,243.435,243.765,42.0827,42.624,31.0453,32.0533,0.0,618.816,1.84467,92160.0,8673.28,44761.1,476.373,45.1947,3.0,22.776
112,14/03/2012,15:45,232.693,237.589,41.124,42.224,23.004,22.604,0.0,618.603,2.00933,91930.6,7985.15,36319.2,431.253,44.3787,3.0,22.7347
113,14/03/2012,16:00,224.021,233.12,40.4133,41.952,20.8053,23.388,0.0,618.56,1.56,88861.4,7533.57,27955.2,383.637,44.2373,3.0,22.6907
114,14/03/2012,16:15,219.52,229.899,39.9333,41.664,20.742,22.9467,0.0,618.56,1.636,88479.1,7347.2,21349.0,334.421,44.0347,3.0,22.608
115,14/03/2012,16:30,216.501,226.869,39.2667,41.5227,20.9027,23.1093,0.0,618.091,1.498,82580.8,7081.98,16311.6,285.024,43.544,3.0,22.5613
116,14/03/2012,16:45,216.619,221.515,38.8173,41.48,20.6607,22.9813,0.0,617.92,1.782,78711.5,6773.76,12907.9,234.805,43.4693,3.0,22.484
117,14/03/2012,17:00,213.557,219.349,38.384,41.0613,20.562,23.144,0.0,617.323,1.246,70421.2,6207.49,10277.9,184.949,43.048,3.0,22.3867
118,14/03/2012,17:15,211.445,217.483,37.8173,40.8947,20.822,22.604,0.0,616.811,1.578,48251.2,4652.03,7182.34,116.075,43.36,3.0,22.2987
119,14/03/2012,17:30,210.795,215.936,37.912,40.776,20.9213,22.9467,0.0,615.573,1.254,2788.35,2386.94,1978.37,24.2627,44.864,3.0,22.1787
120,14/03/2012,17:45,209.877,214.325,39.0733,40.9387,20.6607,22.7027,0.0,614.464,1.41867,2085.89,1734.66,1526.78,15.6347,48.3867,3.0,22.064
121,14/03/2012,18:00,209.483,212.544,40.848,41.44,11.328,22.0213,0.0,613.973,0.780667,1103.87,473.088,451.584,5.62067,51.8347,3.0,21.952
122,14/03/2012,18:15,210.315,213.035,42.32,42.048,11.328,13.46,0.0,585.813,0.650667,0.0,0.0,0.0,-2.58867,54.5067,3.0,21.8613
123,14/03/2012,18:30,209.984,211.371,43.6133,42.7947,11.622,12.8587,0.0,111.133,1.11733,0.0,0.0,0.0,-3.64267,56.8587,3.0,21.74
124,14/03/2012,18:45,210.101,210.581,44.5493,43.52,11.23,13.1993,0.0,3.772,0.821333,0.0,0.0,0.0,-3.708,58.408,3.0,21.624
125,14/03/2012,19:00,210.304,210.507,45.2853,44.056,11.426,12.94,0.0,0.738,0.563333,0.0,0.0,0.0,-3.77333,59.5707,3.0,21.496
126,14/03/2012,19:15,209.835,210.187,45.816,44.496,11.6053,13.004,0.0,0.65,0.08,0.0,0.0,0.0,-3.77333,60.184,3.0,21.3867
127,14/03/2012,19:30,210.581,210.805,46.2747,44.944,11.328,13.3787,0.0,0.65,0.052,0.0,0.0,0.0,-3.512,61.1787,3.0,21.2507
128,14/03/2012,19:45,209.835,211.136,46.184,45.056,11.6867,13.2813,0.0,0.65,0.564,0.0,0.0,0.0,-3.512,62.488,3.0,21.1293
129,14/03/2012,20:00,209.728,210.496,46.9147,45.6667,11.3447,13.004,0.0,0.65,0.0,0.0,0.0,0.0,-3.708,62.7653,3.0,21.028
130,14/03/2012,20:15,210.101,211.723,47.2987,45.8693,11.426,13.0213,0.0,0.65,0.0,0.0,0.0,0.0,-3.64267,63.056,3.0,20.896
131,14/03/2012,20:30,210.016,211.019,47.3067,46.0667,11.6867,13.1833,0.0,0.65,0.0,0.0,0.0,0.0,-3.77333,62.96,3.0,20.816
132,14/03/2012,20:45,210.4,211.616,45.8533,45.4533,11.328,12.94,0.0,0.65,0.48,0.0,0.0,0.0,-3.57733,64.6267,3.0,20.6813
133,14/03/2012,21:00,210.507,212.48,45.2,45.488,11.524,13.2967,0.0,0.65,0.783333,0.0,0.0,0.0,-3.77333,65.1147,3.0,20.572
134,14/03/2012,21:15,211.072,214.091,44.824,45.5253,11.6867,13.184,0.0,0.65,0.986667,0.0,0.0,0.0,-3.708,65.7627,3.0,20.4173
135,14/03/2012,21:30,211.264,213.749,44.8347,45.6133,11.426,12.5167,0.0,0.65,0.576,0.0,0.0,0.0,-3.708,65.6587,3.0,20.308
136,14/03/2012,21:45,212.085,214.261,45.8827,46.232,11.6867,13.3627,0.0,0.65,0.218,0.0,0.0,0.0,-3.25067,65.2187,3.0,20.1407
137,14/03/2012,22:00,212.384,214.229,46.352,46.4693,11.6053,12.8587,0.0,0.65,0.0386667,0.0,0.0,0.0,-3.316,65.2773,3.0,19.9987
138,14/03/2012,22:15,211.733,213.739,46.5333,46.752,11.426,13.6067,0.0,0.65,0.0,0.0,0.0,0.0,-3.57733,65.1707,3.0,19.9033
139,14/03/2012,22:30,212.235,214.496,45.9653,46.5893,11.6053,13.1027,0.0,0.65,0.0,0.0,0.0,0.0,-3.57733,65.072,3.0,19.7833
140,14/03/2012,22:45,212.064,214.357,45.736,46.8933,11.426,13.184,0.0,0.65,0.0,0.0,0.0,0.0,-3.57733,64.3813,3.0,19.658
141,14/03/2012,23:00,212.32,214.432,44.936,46.7413,11.524,13.0213,0.0,0.65,0.0,0.0,0.0,0.0,-3.512,63.3573,3.0,19.52
142,14/03/2012,23:15,212.651,215.979,44.2427,46.4053,11.6867,12.842,0.0,0.65,0.0,0.0,0.0,0.0,-3.18533,64.584,3.0,19.4027
143,14/03/2012,23:30,212.96,215.787,43.3253,45.7573,11.6053,13.444,0.0,0.65,0.0,0.0,0.0,0.0,-3.38133,64.9653,3.0,19.3573
144,14/03/2012,23:45,213.205,215.125,41.4853,45.0,11.7033,13.0207,0.0,0.65,0.0,0.0,0.0,0.0,-3.25067,64.7307,3.0,19.5787
145,15/03/2012,00:00,212.683,216.309,41.104,44.64,11.4427,13.2653,0.0,0.65,0.0,0.0,0.0,0.0,-3.38133,64.304,3.06667,19.672
146,15/03/2012,00:15,212.907,217.44,40.976,44.256,11.4427,12.9393,0.0,0.65,0.0,0.0,0.0,0.0,-3.38133,63.7627,4.0,19.7
147,15/03/2012,00:30,213.845,217.568,40.896,43.9893,11.6867,13.3467,0.0,0.65,0.0,0.0,0.0,0.0,-3.316,63.152,4.0,19.7033
148,15/03/2012,00:45,214.667,218.891,40.816,43.752,11.6053,12.94,0.0,0.65,0.036,0.0,0.0,0.0,-3.38133,62.3547,4.0,19.684
149,15/03/2012,01:00,215.915,220.672,40.7413,43.5173,11.524,13.8173,0.0,0.65,0.426,0.0,0.0,0.0,-3.25067,61.8907,4.0,19.648
150,15/03/2012,01:15,216.821,219.328,40.7107,43.2747,11.7033,13.704,0.0,0.65,1.09733,0.0,0.0,0.0,-3.25067,61.864,4.0,19.55
151,15/03/2012,01:30,216.715,217.259,40.66,43.2133,11.6053,13.3467,0.0,1.354,0.420667,0.0,0.0,0.0,-3.25067,65.3653,4.0,19.4333
152,15/03/2012,01:45,215.851,215.157,40.596,43.272,11.7033,13.3467,0.0,1.926,0.326,0.0,0.0,0.0,-3.042,68.5467,4.0,19.382
153,15/03/2012,02:00,214.56,214.048,40.5893,43.424,11.524,13.2653,0.0,1.926,0.036,0.0,0.0,0.0,-3.12,69.3893,4.0,19.3153
154,15/03/2012,02:15,213.312,213.045,40.5733,43.5573,11.524,12.452,0.0,1.794,0.0,0.0,0.0,0.0,-3.12,69.824,4.0,19.3
155,15/03/2012,02:30,212.075,212.021,40.592,43.5893,11.524,14.3213,0.0,1.618,0.0386667,0.0,0.0,0.0,-3.25067,69.8427,4.0,19.2733
156,15/03/2012,02:45,212.224,213.429,40.64,43.5947,11.6867,13.7533,0.0,1.618,0.529333,0.0,0.0,0.0,-3.18533,70.5147,4.0,19.2267
157,15/03/2012,03:00,211.701,213.589,40.656,43.712,11.7847,13.2653,0.0,1.838,0.106,0.0,0.0,0.0,-3.18533,70.3573,4.0,19.1367
158,15/03/2012,03:15,211.659,213.685,40.68,44.0027,11.6053,13.5093,0.0,1.838,0.0,0.0,0.0,0.0,-3.18533,70.4267,4.0,19.13
159,15/03/2012,03:30,210.923,213.493,40.712,44.0053,11.6867,13.5907,0.0,1.662,0.182,0.0,0.0,0.0,-3.25067,70.8453,4.0,19.1133
160,15/03/2012,03:45,210.987,214.496,40.748,44.1227,11.7847,13.5907,0.0,1.442,0.163333,0.0,0.0,0.0,-3.38133,70.4533,4.0,19.0867
161,15/03/2012,04:00,211.968,213.867,40.848,44.2213,11.4427,13.1673,0.0,1.31,0.108667,0.0,0.0,0.0,-3.38133,70.7333,4.0,19.06
162,15/03/2012,04:15,212.064,214.741,40.92,44.3787,11.6867,13.5907,0.0,1.31,0.0,0.0,0.0,0.0,-3.18533,70.4453,4.0,19.048
